approach,D,W,F,profile,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,dist,zipf_s,locality,ops,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_bytes,avg_latency_us_std,p99_latency_us_std,throughput_ops_sec_std,memory_bytes_std
case_a,15,30,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,13.7595,508.229,73066.6,219347,1.18701,29.4955,6878.49,171.306
case_a,15,30,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,10.0618,397.5,100413,219773,1.19924,44.6009,12353.3,126.689
case_a,15,100,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.25139,8.9,791027,324521,0.121818,1.64012,72057.9,199.226
case_a,15,100,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,23.3998,1092.34,43190.4,326306,2.63526,68.346,5184.7,195.738
case_a,15,100,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,19.5534,961.4,51772.4,326699,2.45631,54.4387,6476.44,135.069
case_a,15,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.4412,11.9571,696011,328585,0.213843,2.09591,101160,187.69
case_a,15,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,25.9951,1118,39084.8,331493,3.5584,68.68,5540.7,204.422
case_a,15,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,19.9882,1002.84,50748.3,332010,2.65413,30.2394,6890.64,295.307
case_a,15,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,2.41408,16.6429,416554,333990,0.30773,3.15429,57085.8,220.273
case_a,15,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,29.3741,1153.17,34540.2,337616,3.83513,42.1249,4697.54,225.221
case_a,15,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,22.3336,1017.14,45517.3,338239,3.06522,54.0376,6730.87,136.805
case_a,15,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.40662,9.68571,701482,652900,0.0739364,2.82101,37008.2,313.66
case_a,15,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,65.2191,2865.24,15422.3,656339,5.37441,47.2579,1342.28,618.326
case_a,15,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,49.5504,2688.34,20334.2,656946,4.79791,76.8367,1970.66,587.709
case_a,15,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.69301,13.7143,588787,667759,0.219019,2.60348,61483.6,433.859
case_a,15,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,67.6983,2970.63,14907,672336,6.80029,40.1177,1638.02,288.515
case_a,15,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,51.3528,2808.17,19727.3,673040,6.21113,69.351,2557.79,265.502
